level_0,index,Date,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindSpeed9am,Humidity9am,Cloud9am,RainToday,RainTomorrow,AverageTemp,day_of_week,month,index,Rainfall_prev,Evaporation_prev,Sunshine_prev,WindGustSpeed_prev,WindSpeed9am_prev,Humidity9am_prev,Cloud9am_prev,RainToday_prev,AverageTemp_prev,WindGustDir_N,WindGustDir_S,WindGustDir_E,WindGustDir_W,index,Location_Changi,Location_Sentosa,Location_Tuas,Location_Woodlands,Pressure9am_HIGH,Pressure9am_LOW,Pressure9am_MED
1006,10538,2011-05-20,4.2,3.0,8.9,ESE,24.0,4.0,73.0,1.0,1,0,30.3,4,5,1006,0.7142857142857163,3.6571428571428575,5.599999999999999,23.285714285714285,4.857142857142857,62.714285714285715,2.142857142857143,0.14285714285714285,29.585714285714285,0,1,1,0,1006,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1007,1919,2011-05-21,0.4,3.0,-4.5,E,22.0,4.0,85.0,7.0,0,1,30.1,5,5,1007,0.7714285714285735,3.5142857142857147,3.4857142857142844,22.428571428571427,4.571428571428571,68.0,2.857142857142857,0.14285714285714285,29.800000000000004,0,0,1,0,1007,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1008,4606,2011-05-22,10.8,2.2,4.7,E,15.0,4.0,89.0,7.0,1,0,31.1,6,5,1008,2.3142857142857167,3.2571428571428576,5.5857142857142845,21.857142857142858,4.285714285714286,74.57142857142857,3.7142857142857144,0.2857142857142857,30.042857142857144,0,0,1,0,1008,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1009,4779,2011-05-23,0.0,1.2,1.9,SW,30.0,0.0,86.0,7.0,0,1,30.5,0,5,1009,2.3142857142857167,2.8000000000000003,4.699999999999998,23.714285714285715,3.4285714285714284,78.42857142857143,4.428571428571429,0.2857142857142857,30.214285714285715,0,1,0,1,1009,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1010,7601,2011-05-24,11.4,0.8,9.7,W,31.0,9.0,63.0,1.0,1,0,29.9,1,5,1010,3.8857142857142883,2.4571428571428577,4.928571428571428,25.428571428571427,4.142857142857143,76.71428571428571,4.428571428571429,0.42857142857142855,30.22857142857143,0,0,0,1,1010,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1011,3667,2011-05-25,0.0,5.6,10.1,W,44.0,11.0,61.0,1.0,0,0,28.5,2,5,1011,3.857142857142859,2.685714285714286,5.328571428571427,27.714285714285715,5.142857142857143,76.28571428571429,4.142857142857143,0.42857142857142855,30.057142857142853,0,0,0,1,1011,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1012,3125,2011-05-26,0.0,6.0,9.6,WSW,24.0,7.0,55.0,1.0,0,0,29.1,3,5,1012,3.8285714285714314,3.1142857142857143,5.7714285714285705,27.142857142857142,5.571428571428571,73.14285714285714,3.5714285714285716,0.42857142857142855,29.928571428571427,0,1,0,1,1012,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1013,1621,2011-05-27,0.0,3.2,9.8,SW,19.0,6.0,64.0,1.0,0,0,29.1,4,5,1013,3.228571428571431,3.142857142857143,5.899999999999999,26.428571428571427,5.857142857142857,71.85714285714286,3.5714285714285716,0.2857142857142857,29.75714285714286,0,1,0,1,1013,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1014,3250,2011-05-28,0.0,3.0,5.5,SE,15.0,6.0,71.0,1.0,0,0,29.1,5,5,1014,3.171428571428574,3.142857142857143,7.328571428571427,25.428571428571427,6.142857142857143,69.85714285714286,2.7142857142857144,0.2857142857142857,29.61428571428571,0,1,1,0,1014,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1015,9393,2011-05-29,0.0,2.8,7.5,ESE,24.0,4.0,69.0,4.0,0,1,30.1,6,5,1015,1.6285714285714306,3.228571428571428,7.728571428571427,26.714285714285715,6.142857142857143,67.0,2.2857142857142856,0.14285714285714285,29.47142857142857,0,1,1,0,1015,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1016,2868,2011-05-30,12.0,2.0,8.3,WSW,22.0,4.0,87.0,4.0,1,0,30.0,0,5,1016,3.3428571428571447,3.3428571428571425,8.642857142857142,25.571428571428573,6.714285714285714,67.14285714285714,1.8571428571428572,0.2857142857142857,29.400000000000002,0,1,0,1,1016,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1017,8192,2011-05-31,0.2,2.0,7.9,ESE,19.0,6.0,76.0,5.0,0,0,28.3,1,5,1017,1.7428571428571449,3.5142857142857147,8.385714285714284,23.857142857142858,6.285714285714286,69.0,2.4285714285714284,0.14285714285714285,29.171428571428574,0,1,1,0,1017,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1018,8463,2011-06-01,0.0,4.2,3.9,NS,15.0,0.0,70.0,7.0,0,0,28.5,2,6,1018,1.7428571428571449,3.314285714285714,7.499999999999999,19.714285714285715,4.714285714285714,70.28571428571429,3.2857142857142856,0.14285714285714285,29.17142857142857,1,1,0,0,1018,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1019,6484,2011-06-02,0.0,0.4,7.4,SW,26.0,7.0,72.0,1.0,0,0,29.9,3,6,1019,1.7428571428571449,2.5142857142857147,7.185714285714285,20.0,4.714285714285714,72.71428571428571,3.2857142857142856,0.14285714285714285,29.285714285714285,0,1,0,1,1019,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1020,3396,2011-06-03,0.0,3.4,9.8,WSW,19.0,9.0,59.0,0.0,0,0,30.1,4,6,1020,1.7428571428571449,2.542857142857143,7.185714285714285,20.0,5.142857142857143,72.0,3.142857142857143,0.14285714285714285,29.428571428571427,0,1,0,1,1020,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1021,3368,2011-06-04,0.0,2.8,-9.8,WNW,19.0,4.0,73.0,0.0,0,0,29.5,5,6,1021,1.7428571428571449,2.5142857142857147,5.0,20.571428571428573,4.857142857142857,72.28571428571429,3.0,0.14285714285714285,29.485714285714288,1,0,0,1,1021,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1022,4117,2011-06-05,0.0,2.8,2.1,WSW,13.0,4.0,80.0,7.0,0,0,29.2,6,6,1022,1.7428571428571449,2.5142857142857147,4.228571428571429,19.0,4.857142857142857,73.85714285714286,3.4285714285714284,0.14285714285714285,29.357142857142858,0,1,0,1,1022,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1023,3400,2011-06-06,0.0,4.0,10.1,W,20.0,2.0,69.0,1.0,0,0,29.9,0,6,1023,0.028571428571430604,2.8000000000000003,4.485714285714285,18.714285714285715,4.571428571428571,71.28571428571429,3.0,0.0,29.342857142857145,0,0,0,1,1023,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1024,4934,2011-06-09,0.0,2.8,0.0,W,22.0,7.0,42.0,7.0,0,0,27.0,3,6,1024,0.0,2.914285714285714,3.3571428571428563,19.142857142857142,4.714285714285714,66.42857142857143,3.2857142857142856,0.0,29.157142857142855,0,0,0,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1025,10746,2011-06-10,0.0,3.4,9.2,W,28.0,7.0,51.0,1.0,0,0,27.6,4,6,1025,0.0,2.8000000000000003,4.114285714285713,21.0,5.714285714285714,63.714285714285715,2.4285714285714284,0.0,29.02857142857143,0,0,0,1,1025,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1026,3140,2011-06-11,0.0,2.4,0.0,WSW,17.0,4.0,68.0,8.0,0,1,27.0,5,6,1026,0.0,3.0857142857142854,3.057142857142856,19.714285714285715,5.285714285714286,63.142857142857146,3.4285714285714284,0.0,28.614285714285717,0,1,0,1,1026,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1027,12708,2011-06-12,3.8,0.4,1.7,SW,26.0,4.0,93.0,8.0,1,0,28.5,6,6,1027,0.5428571428571448,2.657142857142857,1.8999999999999986,20.714285714285715,4.571428571428571,68.0,4.571428571428571,0.14285714285714285,28.385714285714283,0,1,0,1,1027,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1028,6452,2011-06-13,0.2,3.2,9.5,WSW,28.0,9.0,70.0,3.0,0,0,29.5,0,6,1028,0.5714285714285735,2.7142857142857144,4.657142857142857,22.0,5.285714285714286,67.57142857142857,5.0,0.14285714285714285,28.385714285714283,0,1,0,1,1028,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1029,10975,2011-06-14,0.0,3.6,9.8,W,33.0,13.0,66.0,1.0,0,0,28.2,1,6,1029,0.5714285714285735,2.8285714285714287,5.757142857142855,24.857142857142858,6.571428571428571,65.57142857142857,4.142857142857143,0.14285714285714285,28.242857142857144,0,0,0,1,1029,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1030,11952,2011-06-15,0.0,2.4,-8.8,SW,19.0,4.0,66.0,1.0,0,0,27.9,2,6,1030,0.5714285714285735,2.6,3.057142857142856,24.714285714285715,6.857142857142857,65.14285714285714,4.142857142857143,0.14285714285714285,27.95714285714286,0,1,0,1,1030,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1031,9514,2011-06-16,0.0,2.2,9.5,WSW,30.0,11.0,65.0,1.0,0,0,28.2,3,6,1031,0.5714285714285735,2.514285714285714,4.414285714285713,25.857142857142858,7.428571428571429,68.42857142857143,3.2857142857142856,0.14285714285714285,28.12857142857143,0,1,0,1,1031,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1032,157,2011-06-17,0.0,3.4,10.2,W,43.0,4.0,60.0,1.0,0,0,28.2,4,6,1032,0.5714285714285735,2.5142857142857147,4.557142857142856,28.0,7.0,69.71428571428571,3.2857142857142856,0.14285714285714285,28.214285714285715,0,0,0,1,1032,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1033,7206,2011-06-18,0.0,5.8,9.7,W,35.0,9.0,45.0,1.0,0,0,28.0,5,6,1033,0.5714285714285735,3.0,5.942857142857142,30.571428571428573,7.714285714285714,66.42857142857143,2.2857142857142856,0.14285714285714285,28.357142857142858,0,0,0,1,1033,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1034,3231,2011-06-19,0.0,5.0,-9.1,WSW,19.0,7.0,58.0,0.0,0,0,27.7,6,6,1034,0.028571428571430604,3.6571428571428575,4.399999999999999,29.571428571428573,8.142857142857142,61.42857142857143,1.1428571428571428,0.0,28.242857142857144,0,1,0,1,1034,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1035,3532,2011-06-20,0.0,2.2,9.4,W,15.0,0.0,68.0,0.0,0,0,27.5,0,6,1035,0.0,3.514285714285714,4.385714285714284,27.714285714285715,6.857142857142857,61.142857142857146,0.7142857142857143,0.0,27.957142857142856,0,0,0,1,1035,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1036,3804,2011-06-21,0.0,2.2,9.6,W,26.0,0.0,70.0,1.0,0,0,28.0,1,6,1036,0.0,3.3142857142857145,4.357142857142856,26.714285714285715,5.0,61.714285714285715,0.7142857142857143,0.0,27.928571428571427,0,0,0,1,1036,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1037,667,2011-06-22,0.0,3.6,9.9,WSW,37.0,11.0,58.0,1.0,0,0,27.4,2,6,1037,0.0,3.4857142857142853,7.028571428571428,29.285714285714285,6.0,60.57142857142857,0.7142857142857143,0.0,27.857142857142858,0,1,0,1,1037,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1038,1349,2011-06-23,0.0,6.4,9.9,WSW,17.0,6.0,57.0,0.0,0,0,27.4,3,6,1038,0.0,4.085714285714286,7.085714285714284,27.428571428571427,5.285714285714286,59.42857142857143,0.5714285714285714,0.0,27.74285714285714,0,1,0,1,1038,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1039,8959,2011-06-24,0.0,3.0,9.6,SW,17.0,4.0,63.0,1.0,0,0,28.5,4,6,1039,0.0,4.028571428571429,6.999999999999999,23.714285714285715,5.285714285714286,59.857142857142854,0.5714285714285714,0.0,27.785714285714285,0,1,0,1,1039,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1040,5426,2011-06-25,0.2,2.8,9.4,E,30.0,6.0,69.0,1.0,0,0,29.5,5,6,1040,0.028571428571430604,3.6,6.957142857142856,23.0,4.857142857142857,63.285714285714285,0.5714285714285714,0.0,28.0,0,0,1,0,1040,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1041,10074,2011-06-26,0.0,3.6,9.1,NE,24.0,6.0,69.0,2.0,0,0,29.7,6,6,1041,0.028571428571430604,3.4,9.557142857142855,23.714285714285715,4.714285714285714,64.85714285714286,0.8571428571428571,0.0,28.285714285714285,1,0,1,0,1041,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1042,7375,2011-06-27,0.0,2.8,-0.1,WSW,13.0,2.0,77.0,7.0,0,0,29.5,0,6,1042,0.028571428571430604,3.485714285714286,8.2,23.428571428571427,5.0,66.14285714285714,1.8571428571428572,0.0,28.571428571428573,0,1,0,1,1042,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1043,9701,2011-06-28,0.0,2.2,8.8,E,30.0,6.0,62.0,1.0,0,0,29.4,1,6,1043,0.028571428571430604,3.485714285714286,8.085714285714285,24.0,5.857142857142857,65.0,1.8571428571428572,0.0,28.77142857142857,0,0,1,0,1043,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1044,320,2011-06-29,0.0,3.6,4.1,ESE,37.0,9.0,74.0,7.0,0,1,29.0,2,6,1044,0.028571428571430604,3.4857142857142853,7.257142857142857,24.0,5.571428571428571,67.28571428571429,2.7142857142857144,0.0,29.0,0,1,1,0,1044,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1045,8992,2011-06-30,6.4,1.8,4.9,SSE,37.0,4.0,82.0,5.0,1,0,29.0,3,6,1045,0.942857142857145,2.8285714285714287,6.542857142857143,26.857142857142858,5.285714285714286,70.85714285714286,3.4285714285714284,0.14285714285714285,29.228571428571428,0,1,1,0,1045,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1046,8945,2011-07-01,0.2,3.0,-8.8,SE,22.0,7.0,70.0,2.0,0,0,29.0,4,7,1046,0.9714285714285735,2.8285714285714283,3.9142857142857133,27.571428571428573,5.714285714285714,71.85714285714286,3.5714285714285716,0.14285714285714285,29.3,0,1,1,0,1046,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1047,119,2011-07-02,0.0,2.8,8.7,SE,24.0,7.0,71.0,6.0,0,0,29.1,5,7,1047,0.942857142857145,2.8285714285714287,3.8142857142857136,26.714285714285715,5.857142857142857,72.14285714285714,4.285714285714286,0.14285714285714285,29.242857142857144,0,1,1,0,1047,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1048,3639,2011-07-03,0.0,3.0,1.2,WSW,15.0,4.0,72.0,7.0,0,0,29.1,6,7,1048,0.942857142857145,2.742857142857143,2.6857142857142846,25.428571428571427,5.571428571428571,72.57142857142857,5.0,0.14285714285714285,29.157142857142855,0,1,0,1,1048,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1049,11959,2011-07-04,0.0,2.8,9.5,W,19.0,4.0,79.0,0.0,0,0,29.3,0,7,1049,0.942857142857145,2.742857142857143,4.057142857142856,26.285714285714285,5.857142857142857,72.85714285714286,4.0,0.14285714285714285,29.128571428571426,0,0,0,1,1049,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1050,7515,2011-07-05,0.0,2.6,10.2,W,43.0,9.0,55.0,1.0,0,0,29.1,1,7,1050,0.942857142857145,2.8,4.257142857142855,28.142857142857142,6.285714285714286,71.85714285714286,4.0,0.14285714285714285,29.08571428571429,0,0,0,1,1050,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1051,11613,2011-07-06,0.0,8.2,9.9,WSW,31.0,11.0,35.0,0.0,0,0,27.9,2,7,1051,0.942857142857145,3.457142857142857,5.0857142857142845,27.285714285714285,6.571428571428571,66.28571428571429,3.0,0.14285714285714285,28.928571428571427,0,1,0,1,1051,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1052,6481,2011-07-07,0.0,6.2,9.9,W,39.0,4.0,36.0,0.0,0,0,27.8,3,7,1052,0.028571428571430604,4.085714285714285,5.799999999999999,27.571428571428573,6.571428571428571,59.714285714285715,2.2857142857142856,0.0,28.75714285714286,0,0,0,1,1052,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1053,11605,2011-07-08,0.0,5.0,9.7,WNW,22.0,4.0,53.0,1.0,0,0,27.6,4,7,1053,0.0,4.371428571428571,8.442857142857141,27.571428571428573,6.142857142857143,57.285714285714285,2.142857142857143,0.0,28.557142857142857,1,0,0,1,1053,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1054,1328,2011-07-09,0.0,4.0,10.1,W,33.0,13.0,41.0,0.0,0,0,28.0,5,7,1054,0.0,4.542857142857143,8.642857142857142,28.857142857142858,7.0,53.0,1.2857142857142858,0.0,28.4,0,0,0,1,1054,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1055,1440,2011-07-10,0.0,6.0,-10.0,WSW,33.0,6.0,47.0,0.0,0,0,27.3,6,7,1055,0.0,4.971428571428571,7.042857142857142,31.428571428571427,7.285714285714286,49.42857142857143,0.2857142857142857,0.0,28.142857142857142,0,1,0,1,1055,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1056,1677,2011-07-11,0.0,7.2,9.9,W,35.0,9.0,42.0,5.0,0,0,28.7,0,7,1056,0.0,5.6000000000000005,7.099999999999999,33.714285714285715,8.0,44.142857142857146,1.0,0.0,28.057142857142853,0,0,0,1,1056,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1057,8138,2011-07-12,0.0,5.0,9.9,NNE,15.0,4.0,62.0,1.0,0,0,27.8,1,7,1057,0.0,5.942857142857143,7.057142857142856,29.714285714285715,7.285714285714286,45.142857142857146,1.0,0.0,27.87142857142857,1,0,1,0,1057,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1058,2342,2011-07-13,0.0,2.4,9.6,W,20.0,2.0,63.0,7.0,0,1,28.0,2,7,1058,0.0,5.114285714285715,7.0142857142857125,28.142857142857142,6.0,49.142857142857146,2.0,0.0,27.885714285714283,0,0,0,1,1058,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1059,7479,2011-07-16,10.8,2.6,0.6,SSE,22.0,4.0,91.0,8.0,1,0,27.9,5,7,1059,1.542857142857145,4.6000000000000005,5.685714285714284,25.714285714285715,6.0,57.0,3.142857142857143,0.14285714285714285,27.900000000000002,0,1,1,0,1059,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1060,2861,2011-07-17,1.0,1.2,7.8,SSE,17.0,6.0,74.0,1.0,0,0,29.3,6,7,1060,1.685714285714288,4.057142857142858,5.414285714285713,25.0,6.285714285714286,60.0,3.142857142857143,0.14285714285714285,28.142857142857142,0,1,1,0,1060,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1061,5585,2011-07-18,0.2,2.6,9.9,SW,19.0,6.0,80.0,1.0,0,0,29.1,0,7,1061,1.7142857142857164,3.857142857142857,5.385714285714284,23.0,5.285714285714286,65.57142857142857,3.2857142857142856,0.14285714285714285,28.300000000000004,0,1,0,1,1061,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1062,8042,2011-07-19,0.0,3.2,10.2,WSW,37.0,7.0,60.0,1.0,0,0,27.7,1,7,1062,1.7142857142857164,3.4571428571428577,8.27142857142857,23.571428571428573,5.428571428571429,67.42857142857143,3.4285714285714284,0.14285714285714285,28.357142857142858,0,1,0,1,1062,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1063,10287,2011-07-20,0.0,6.0,-10.0,W,43.0,13.0,56.0,1.0,0,0,27.8,2,7,1063,1.7142857142857164,3.2857142857142856,5.428571428571428,24.714285714285715,6.0,69.42857142857143,2.857142857142857,0.14285714285714285,28.22857142857143,0,0,0,1,1063,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1064,2126,2011-07-21,0.0,6.2,10.0,W,30.0,7.0,51.0,0.0,0,0,29.3,3,7,1064,1.7142857142857164,3.457142857142857,5.442857142857142,26.857142857142858,6.428571428571429,67.85714285714286,2.7142857142857144,0.14285714285714285,28.442857142857143,0,0,0,1,1064,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1065,11943,2011-07-22,0.0,6.2,10.0,SSW,30.0,9.0,51.0,1.0,0,0,29.7,4,7,1065,1.7142857142857164,4.0,5.499999999999998,28.285714285714285,7.428571428571429,66.14285714285714,1.8571428571428572,0.14285714285714285,28.685714285714287,0,1,0,1,1065,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1066,7665,2011-07-23,0.0,4.0,9.8,SSW,24.0,7.0,54.0,1.0,0,0,29.1,5,7,1066,0.17142857142857346,4.2,6.814285714285712,28.571428571428573,7.857142857142857,60.857142857142854,0.8571428571428571,0.0,28.857142857142858,0,1,0,1,1066,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1067,11807,2011-07-24,0.0,4.8,9.8,WSW,17.0,4.0,56.0,0.0,0,0,28.2,6,7,1067,0.028571428571430604,4.714285714285714,7.099999999999999,28.571428571428573,7.571428571428571,58.285714285714285,0.7142857142857143,0.0,28.7,0,1,0,1,1067,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1068,6427,2011-07-25,0.0,2.4,10.1,WSW,19.0,4.0,67.0,0.0,0,0,28.2,0,7,1068,0.0,4.685714285714286,7.128571428571427,28.571428571428573,7.285714285714286,56.42857142857143,0.5714285714285714,0.0,28.571428571428573,0,1,0,1,1068,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1069,7216,2011-07-26,0.2,3.6,7.6,W,22.0,4.0,62.0,3.0,0,0,28.7,1,7,1069,0.028571428571430604,4.742857142857142,6.757142857142855,26.428571428571427,6.857142857142857,56.714285714285715,0.8571428571428571,0.0,28.714285714285715,0,0,0,1,1069,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1070,2499,2011-07-27,0.0,3.2,9.7,WSW,22.0,2.0,56.0,1.0,0,0,28.7,2,7,1070,0.028571428571430604,4.3428571428571425,9.571428571428571,23.428571428571427,5.285714285714286,56.714285714285715,0.8571428571428571,0.0,28.842857142857138,0,1,0,1,1070,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1071,2315,2011-07-28,0.0,4.0,9.7,SSE,20.0,6.0,59.0,1.0,0,0,27.9,3,7,1071,0.028571428571430604,4.0285714285714285,9.528571428571427,22.0,5.142857142857143,57.857142857142854,1.0,0.0,28.642857142857142,0,1,1,0,1071,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1072,2842,2011-07-29,0.0,4.0,8.2,E,26.0,7.0,63.0,3.0,0,0,28.9,4,7,1072,0.028571428571430604,3.7142857142857144,9.27142857142857,21.428571428571427,4.857142857142857,59.57142857142857,1.2857142857142858,0.0,28.52857142857143,0,0,1,0,1072,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1073,6644,2011-07-30,0.0,3.2,-8.5,ENE,30.0,4.0,67.0,2.0,0,0,28.6,5,7,1073,0.028571428571430604,3.6,6.657142857142857,22.285714285714285,4.428571428571429,61.42857142857143,1.4285714285714286,0.0,28.457142857142856,1,0,1,0,1073,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1074,9625,2011-07-31,0.0,4.0,8.7,ESE,20.0,6.0,69.0,1.0,0,0,28.6,6,7,1074,0.028571428571430604,3.4857142857142853,6.499999999999999,22.714285714285715,4.714285714285714,63.285714285714285,1.5714285714285714,0.0,28.514285714285712,0,1,1,0,1074,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1075,4765,2011-08-01,0.0,3.4,10.0,E,19.0,4.0,72.0,1.0,0,0,28.7,0,8,1075,0.028571428571430604,3.628571428571429,6.485714285714285,22.714285714285715,4.714285714285714,64.0,1.7142857142857142,0.0,28.585714285714285,0,0,1,0,1075,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1076,8511,2011-08-02,0.0,3.4,9.8,E,17.0,4.0,74.0,1.0,0,0,29.0,1,8,1076,0.0,3.6,6.799999999999999,22.0,4.714285714285714,65.71428571428571,1.4285714285714286,0.0,28.62857142857143,0,0,1,0,1076,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1077,5492,2011-08-03,0.0,3.2,10.0,E,24.0,4.0,73.0,1.0,0,0,28.9,2,8,1077,0.0,3.6,6.842857142857142,22.285714285714285,5.0,68.14285714285714,1.4285714285714286,0.0,28.657142857142862,0,0,1,0,1077,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1078,4746,2011-08-04,0.0,4.0,-9.9,E,22.0,4.0,72.0,1.0,0,0,28.5,3,8,1078,0.0,3.6,4.042857142857142,22.571428571428573,4.714285714285714,70.0,1.4285714285714286,0.0,28.74285714285714,0,0,1,0,1078,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1079,4073,2011-08-05,0.0,3.6,4.8,E,30.0,6.0,67.0,6.0,0,0,28.8,4,8,1079,0.0,3.542857142857143,3.557142857142856,23.142857142857142,4.571428571428571,70.57142857142857,1.8571428571428572,0.0,28.728571428571428,0,0,1,0,1079,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1080,2407,2011-08-06,0.0,2.8,9.0,NE,20.0,6.0,73.0,1.0,0,0,29.0,5,8,1080,0.0,3.485714285714286,6.057142857142856,21.714285714285715,4.857142857142857,71.42857142857143,1.7142857142857142,0.0,28.785714285714285,1,0,1,0,1080,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1081,6207,2011-08-07,0.0,2.8,7.3,NE,19.0,4.0,65.0,3.0,0,0,30.4,6,8,1081,0.0,3.314285714285714,5.857142857142855,21.571428571428573,4.571428571428571,70.85714285714286,2.0,0.0,29.042857142857144,1,0,1,0,1081,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1082,10303,2011-08-08,0.0,4.0,10.1,W,31.0,13.0,61.0,6.0,0,0,30.0,0,8,1082,0.0,3.3999999999999995,5.871428571428571,23.285714285714285,5.857142857142857,69.28571428571429,2.7142857142857144,0.0,29.228571428571428,0,0,0,1,1082,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1083,2696,2011-08-09,0.0,6.4,10.2,W,37.0,6.0,44.0,1.0,0,0,27.6,1,8,1083,0.0,3.8285714285714287,5.928571428571426,26.142857142857142,6.142857142857143,65.0,2.7142857142857144,0.0,29.02857142857143,0,0,0,1,1083,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1084,131,2011-08-10,0.0,6.0,10.1,WNW,33.0,4.0,45.0,0.0,0,0,27.9,2,8,1084,0.0,4.228571428571429,5.942857142857141,27.428571428571427,6.142857142857143,61.0,2.5714285714285716,0.0,28.88571428571429,1,0,0,1,1084,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1085,12297,2011-08-11,0.0,4.6,4.5,ENE,17.0,6.0,59.0,6.0,0,0,28.4,3,8,1085,0.0,4.314285714285715,7.999999999999998,26.714285714285715,6.428571428571429,59.142857142857146,3.2857142857142856,0.0,28.87142857142857,1,0,1,0,1085,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1086,7013,2011-08-12,0.0,2.2,10.3,W,20.0,6.0,53.0,0.0,0,0,28.7,4,8,1086,0.0,4.114285714285715,8.785714285714285,25.285714285714285,6.428571428571429,57.142857142857146,2.4285714285714284,0.0,28.857142857142858,0,0,0,1,1086,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1087,3201,2011-08-13,0.0,4.0,10.8,ESE,22.0,7.0,59.0,1.0,0,0,28.7,5,8,1087,0.0,4.285714285714286,9.042857142857141,25.571428571428573,6.571428571428571,55.142857142857146,2.4285714285714284,0.0,28.814285714285713,0,1,1,0,1087,1.0,0.0,0.0,0.0,1.0,0.0,0.0
